IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
ILF2,1252.8,1282.2,1277.7,1230.4,1916.3,1536.5,1646.8,1489.9,1846.9,1966.7,1766.8,1813.8,1833.9,1687.6,1636.5,1769.7,1844.5,1601.9,1665.6
SPAG7,674.6,624.5,864.8,560.9,731.1,882.6,894.3,812.8,725.9,689.3,627.7,651.5,623,611.1,652.3,682.2,820.4,653,725.3
ZPR1,409.3,483.1,543.3,649.5,445.7,531.3,574.8,634.1,602.7,525.2,565.6,394.5,530.6,577.4,543.8,487.7,578.1,573.6,645.4
TAF10,2885.2,3744.6,3592.5,3707.9,2999.6,4898.9,4857.7,5253.6,3974.2,4384.3,4461.1,3776.5,3017.7,2730.1,3116.4,2962.5,4017.7,3798.1,3970.9
C1D,959.9,737.6,666.1,652.7,1111.8,1143.3,1121.2,1032.3,750,1201.5,1168.1,1049.3,928,1026.7,937.8,1069.9,888.9,879.8,866
NONO,7490.9,7963.9,8228.5,9160.5,8483.5,7005,7399.4,8169.9,6703.3,7151.7,7850.7,8622.7,6655.8,7177.2,8052.6,7895.2,6862.6,6990,7504.5
SNRNP200,2442.3,2692.9,2877.1,2882.4,2198.9,2935.6,3024.7,2794,2049.5,2200.9,2147.7,1994.5,1927.1,1812.9,2110.8,2335.2,2205.6,2135.9,2278.1
RHOA,8416.2,6913.9,6933.2,6921.1,7965.3,6222,5160,5326.7,5908.6,8166,6851,7702.8,7837.6,7360.7,6722,6750,6939.9,7244.7,6574.3
RNPS1,4461.6,3045.7,2977.8,2703.7,4493.6,3908.3,3201.2,3591.2,4159,3100.2,2486.4,4489.2,2963.7,2976.2,3036,4574.6,4525,4143.5,3092.1
RPS24,21778.7,29105.8,32561.8,36642.5,23126.9,20033.8,22106.1,25374.4,22969.4,20167.7,25301.9,28335.4,25666.2,26688.3,29346.5,20678.4,21990.3,26093.7,28942.3
RPL30,22745.5,25745.3,28396.1,28837,22779.6,22788.9,26363.1,28811.5,20858.5,21111,25400.7,25177.7,22228.6,23313.3,24580.4,19957.2,20528.5,22928.2,24833
NPM1,18167.6,20713.8,21281.5,23177.6,15960.3,18344.5,20554.4,20333.2,19164,19497.1,19299.8,20262.8,21077.5,22261.8,23544.8,17398.2,16838.8,17756.4,19703.2
HSP90AB1,15978.7,16126.1,15700,16336.4,17350.6,16277.8,17553.7,19346.6,15185.7,15449.4,16417.1,18142.3,15800.2,16317.8,15634.4,16313.2,14999.3,16125.8,15710.5
ARF1,5507.9,4607.3,4213,4695.2,5256,4606.2,3930.7,4298.7,4747.6,3789.8,4249.2,4791.6,4264,3702,3427.9,6484.3,4978.2,4551.9,4607.7
IK,1169.6,1110.1,1035.4,1169,1396.6,1298.7,1450.5,1439.7,1311.3,1390.5,1495.3,1265.5,1363.9,1149.4,1506.6,1234.2,1147.8,1097.4,1290.2
SNX3,3166.1,3588.9,3058.7,3065.3,3365,2999.6,2924.3,2800.3,3087.5,3390.7,3304.9,2971.6,3697.3,3254.1,3204.9,2768.7,3214.6,2924.3,3236.8
CANX,10797.6,11702.8,10716.4,11345.8,10514.5,10363.2,10778.4,10113.7,9641.6,10230.4,10111,11369.1,11927.7,11718.6,11150.5,9459.2,8630,9581.6,10169.4
SART3,248.7,300.9,365.4,355.5,329.3,426.1,332.7,321.1,326.9,297.3,300,286.1,318.7,332.1,451.7,301.3,296.8,346.2,350.8
CNPPD1,562,495.5,467.1,447.1,474,706.9,678.9,673.4,464.5,538.1,648.7,644.1,485.8,454.5,544.8,732.9,610,512.2,594.8
SMNDC1,997.9,951.4,890.4,830.9,1145.2,979.8,967.6,758.7,776.6,841.4,895.1,1104.6,1132.6,976.1,921.7,1127.1,984.3,1039.6,926.7
HNRNPM,2351.8,2359.2,2250.9,1850.8,2844.2,2178.1,2381.4,2578.9,1729.8,2100.9,2105.2,2441.9,2601.7,2189.3,2204.6,2381.5,2128.2,2026.8,1980.5
HNRNPD,2824.3,3668,3258.9,2838.8,2895.9,3491.3,3083.7,2944.7,3067,3920,3285.6,3042.5,4322.1,3471.3,3842.5,2481.7,2932.1,3108.3,3422.2
RPL14,4272.2,5980.8,5430.8,6528.4,4962.9,4719.3,5520.9,5935.3,4574,5129.1,5483.3,5436.5,4717.1,5131.6,5068.3,4516.2,5359.8,6225.7,5773.9
GUK1,1277.9,1838.8,1960,1650.5,1193,2161.3,2053.3,2410.8,1868.9,1736.3,1827.2,1219.9,1592,1290.1,1381.4,1257.6,2023.9,1944.7,2278.2
KXD1,660.6,650.8,681.1,825.1,751.2,730.6,784,707,845.7,771.8,795,679.2,677.8,595.3,629.4,705.2,722.8,821.5,745
OAZ1,8247.7,11168.3,11279.4,11332.2,8476.7,9625.8,10528.2,10442.2,9174.9,8936,9576.1,8655.6,10275,9973.6,10873.7,7527.6,9832.4,10292.3,10483.4
ATP6V0B,1327.1,1816.2,1640,1243.8,1529.3,1910.6,1753.1,1669,2066.3,1906.7,1760.3,1556.8,2009.4,1855.8,1648.8,1300.4,2363.6,2308.6,1819.5
KARS,4734.7,4544.6,4352.9,4245.4,4883.2,3958.4,4043.5,4224.8,4502.7,4140.8,4130.8,4454,3926.4,4132,4287.8,4798.8,4230.2,4132.4,4394.8
H3F3AP4,9910,9306.3,9266.6,8713.2,8014.4,8888.4,8814.9,8978.6,8335.4,9983.5,8125.5,10619,8591.6,8541.1,9757.8,7844,8497.3,8455,9182.5
RPS6,15172.6,24605.1,23500.6,25407.6,20703.2,16762.3,18171.9,15125.4,20477.2,17999.1,20718.2,19457.9,21032.6,21033.4,20776.2,18609.2,17439,21624.2,22529.4
RPS7,12925.6,18962,18898.4,22732.9,15777.3,13973.4,19250.3,20818.4,12891.9,14745.3,18102.6,16990.8,16379.6,17330.3,17672.6,16379.6,16741.7,19864.2,19642.5
USP22,1212.9,1162.6,1539.1,1149.5,1194.3,1338.9,1277.8,1314.2,1083.6,1143.2,888,1161.7,1152.6,995.3,1122.1,1235.3,1288.1,1474.6,1214.1
C11orf58,3413.2,3740.6,3430.7,3107.5,3969.4,3721.6,3629.7,3352.2,4225.7,4036.9,3307.3,3958.3,4197.5,3674.2,3719,3512.2,3694.4,3555.3,3732.7
TCEB2,4337.6,5960.7,6328.1,6519.4,5177.2,5973,6368.7,5970.3,5374.1,5153.8,5027.3,5597.2,4952.8,4994.9,5530.4,4256.3,5694.3,6229.2,5840.1
COX4I1,3828.8,4124.9,4647.1,4438.4,4093.7,4445.6,4488.5,4535.5,3817,4240.5,3999,4221.4,3715.3,3731.2,4115,3997.4,4369,3858.5,4343.5
TMED2,7525.6,8134.3,7949.2,7612.5,8383.5,7864,7051.2,7282.6,8834.3,9563,7636.6,8942.4,8722.6,8944,9028.6,7779.5,8547.7,8076.3,8078.9
RPL12,16201.9,29558.6,24692.5,27238.6,17343.8,17318.3,19060.5,19495.4,20244,18004.3,20277.4,19830.3,19388.9,20660.8,20291.5,15377.5,18830.9,22120.8,22667.6
RPL4,12367.4,16681.3,16670.9,18718.8,13746.7,16502.9,17305.6,17558.9,16888.2,16093.2,15861.7,15529.7,17303,17701.3,17557.9,13029.7,14471.7,16245.8,15829.5
FNTA,3829.1,4423.3,4947,4093,3386,5250.1,4634.3,4415.2,4117,4823.1,4177.7,4149.9,4690.3,4591.5,4223.9,3934.9,4291.1,4211.7,4027.4
RPS25,6394.2,9397.4,9274.5,7522,7732,9733.7,9089.7,8762.9,7252,7948.2,7761.4,7605.7,7911.9,7495.5,8951.3,6605,8270.2,9261.7,9915.2
RPL37,14517.3,16826.2,18406.1,19424.7,16355.3,14848.5,15328.4,17308.6,13117.5,15156.4,15346.8,18354.9,14869.1,15697.1,17663.4,15680.5,14698.3,18115.3,19979.1
HINT1,5121.7,5916.8,5519.8,4424.7,5154.1,6118.6,6512.8,4842.4,5051.3,5325,4732.8,5167.4,4831.1,4743,3931.9,4774.2,5215.8,5337.1,6055.6
EEF2,5482.6,5697.6,5735.2,6203.2,4107,3497.3,3622,4177.8,6262,6375.7,6805.4,5599.3,4888.8,4826.5,5837.7,6518.9,4411.3,3979.4,4496.9
RPS10,32839.7,51886.9,52199.1,64676.7,43154.5,34457.8,43796.5,44382.8,39360.1,36066.8,41091.4,38777.7,40106.7,39845.3,40136.3,32269.5,30557.3,40789.4,42870.8
ATP6V0E1,3432.1,3062,3617.5,3378.5,4113.9,3199.5,3381.1,3092.2,3977.4,3900.6,3576.2,3898.5,3382.2,3148,3400.1,3652.9,4587.7,3910.8,3969.6
HNRNPK,5143,4776.9,4831.9,4129.7,4148.4,5058.2,5242.4,4707.2,5001.8,4960.8,4477.5,4584,5799.4,6046.3,5298.2,4740.3,4758.8,4437.9,3944
ANAPC5,2382.4,2431.1,2501.4,2437.8,1937.5,2050,2421.4,2306.3,2117.2,2088.6,2173.5,2072,2153,2097.7,2036.4,1679.2,2273.7,2218.9,2084.1
RPS3A,20461,28297.5,29248,32392,21890.9,21951.2,24539.3,27801.2,24553.6,23366.4,26610.8,22411.3,25900.3,26958.5,28302.7,19114.2,21626.6,24376.7,24167.6
HNRNPU,1010.3,1313.7,1241.4,1299,1262.4,1035.5,927.9,1123.8,1243.4,1477.4,1472.8,1569.6,1437.8,1507,1767.9,1330,1364,1315.3,1595.8
